name,code,price,image_url,category
Figazzita Manteca  6 Uni,14177,"$104,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00014100/00014177.jpg?3.0.150n,Almacen
Sandwich Simple Int. Coto 1 Uni,10430,"$108,16",https://static.cotodigital3.com.ar/sitios/fotos/medium/00010400/00010430.jpg?3.0.150n,Almacen
Sal Gruesa . Colosal Paq 250 Grm,506676,"$27,97",https://static.cotodigital3.com.ar/sitios/fotos/medium/00506600/00506676.jpg?3.0.150n,Almacen
Sal Entrefina . Colosal Paq 250 Grm,506677,"$27,97",https://static.cotodigital3.com.ar/sitios/fotos/medium/00506600/00506677.jpg?3.0.150n,Almacen
Pastillas Comprimida DRF Mentol Paq 23 Grm,281897,"$26,49",https://static.cotodigital3.com.ar/sitios/fotos/medium/00281800/00281897.jpg?3.0.150n,Almacen
Pastillas Menta DRF Paq 23 Grm,281898,"$26,49",https://static.cotodigital3.com.ar/sitios/fotos/medium/00281800/00281898.jpg?3.0.150n,Almacen
Pastillas Comprimida DRF Anìs Paq 23 Grm,281899,"$26,49",https://static.cotodigital3.com.ar/sitios/fotos/medium/00281800/00281899.jpg?3.0.150n,Almacen
Pastillas DRF Naranja Paq 23 Grm,284917,"$26,49",https://static.cotodigital3.com.ar/sitios/fotos/medium/00284900/00284917.jpg?3.0.150n,Almacen
Prepizza Rustica Tomate X 1 Uni,14466,"$119,60",https://static.cotodigital3.com.ar/sitios/fotos/medium/00014400/00014466.jpg?3.0.150n,Almacen
Harina Tipo 0000 Cañuelas Paq 1 Kgm,528590,"$128,26",https://static.cotodigital3.com.ar/sitios/fotos/medium/00528500/00528590.jpg?3.0.150n,Almacen
Prepizza De Tomate Mediana COTO,44101,"$128,96",https://static.cotodigital3.com.ar/sitios/fotos/medium/00044100/00044101.jpg?3.0.150n,Almacen
Oblea Vainilla Zupay Paq 50 Grm,491813,"$64,48",https://static.cotodigital3.com.ar/sitios/fotos/medium/00491800/00491813.jpg?3.0.150n,Almacen
Oblea Frutilla Zupay Paq 50 Grm,491816,"$64,48",https://static.cotodigital3.com.ar/sitios/fotos/medium/00491800/00491816.jpg?3.0.150n,Almacen
Oblea Chocolate Zupay Paq 50 Grm,491814,"$64,48",https://static.cotodigital3.com.ar/sitios/fotos/medium/00491800/00491814.jpg?3.0.150n,Almacen
Prepizza Rustica Cebolla X 1 Uni,14467,"$130,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00014400/00014467.jpg?3.0.150n,Almacen
Sal Gruesa . Dos Ancla Est 1 Kgm,14110,"$133,85",https://static.cotodigital3.com.ar/sitios/fotos/medium/00014100/00014110.jpg?3.0.150n,Almacen
Te X100 Saq Filtr Taragui Est 100 Uni,511774,"$384,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00511700/00511774.jpg?3.0.150n,Almacen
Te . Rosamonte Cja 50 Uni,11296,"$240,44",https://static.cotodigital3.com.ar/sitios/fotos/medium/00011200/00011296.jpg?3.0.150n,Almacen
Te Verde Citrus LA VIRGINIA Est 20 Uni,240741,"$193,23",https://static.cotodigital3.com.ar/sitios/fotos/medium/00240700/00240741.jpg?3.0.150n,Almacen
Te X50 Saq Filtro Taragui Est 50 Uni,511775,"$242,28",https://static.cotodigital3.com.ar/sitios/fotos/medium/00511700/00511775.jpg?3.0.150n,Almacen
Filtros Papel Nº4 MELITTA Caja 30 Unidades,294646,"$567,53",https://static.cotodigital3.com.ar/sitios/fotos/medium/00294600/00294646.jpg?3.0.150n,Almacen
Pizzetas De Tomate COTO,44091,"$36,40",https://static.cotodigital3.com.ar/sitios/fotos/medium/00044000/00044091.jpg?3.0.150n,Almacen
Turron De Maní Bariloche Pak 6 Uni,482391,"$232,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00482300/00482391.jpg?3.0.150n,Almacen
Pan Flautita. Precocido 1 Uni,13235,"$41,60",https://static.cotodigital3.com.ar/sitios/fotos/medium/00013200/00013235.jpg?3.0.150n,Almacen
Te C/Dce.De Leche Inti Zen  15 Uni,173810,"$690,30",https://static.cotodigital3.com.ar/sitios/fotos/medium/00173800/00173810.jpg?3.0.150n,Almacen
Te Ilumine Inti Zen Est 15 Uni,164910,"$690,30",https://static.cotodigital3.com.ar/sitios/fotos/medium/00164900/00164910.jpg?3.0.150n,Almacen
Te C/Frutos Tropi Inti Zen 15 Uni,173812,"$690,30",https://static.cotodigital3.com.ar/sitios/fotos/medium/00173800/00173812.jpg?3.0.150n,Almacen
Te Patagonia Bee INTI ZEN Est 15 Uni,173977,"$690,30",https://static.cotodigital3.com.ar/sitios/fotos/medium/00173900/00173977.jpg?3.0.150n,Almacen
Flautita Congelada X Unidad,12179,"$46,80",https://static.cotodigital3.com.ar/sitios/fotos/medium/00012100/00012179.jpg?3.0.150n,Almacen
Pan De Pancho X Uni,44449,"$48,88",https://static.cotodigital3.com.ar/sitios/fotos/medium/00044400/00044449.jpg?3.0.150n,Almacen
Turron Mani ARCOR Bli 10 Un,15909,"$523,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00015900/00015909.jpg?3.0.150n,Almacen
Pan Pebete X Uni,44409,"$57,20",https://static.cotodigital3.com.ar/sitios/fotos/medium/00044400/00044409.jpg?3.0.150n,Almacen
Pan De Hamburguesa X Uni,44438,"$57,20",https://static.cotodigital3.com.ar/sitios/fotos/medium/00044400/00044438.jpg?3.0.150n,Almacen
Medialuna Cruda Congelada,12178,"$62,40",https://static.cotodigital3.com.ar/sitios/fotos/medium/00012100/00012178.jpg?3.0.150n,Almacen
Madialuna De Manteca,937,"$62,40",https://static.cotodigital3.com.ar/sitios/fotos/medium/00000900/00000937.jpg?3.0.150n,Almacen
Medialuna De Grasa X Uni,944,"$62,40",https://static.cotodigital3.com.ar/sitios/fotos/medium/00000900/00000944.jpg?3.0.150n,Almacen
Medialuna De Grasa,43606,"$62,40",https://static.cotodigital3.com.ar/sitios/fotos/medium/00043600/00043606.jpg?3.0.150n,Almacen
Madialuna De Manteca,43499,"$62,40",https://static.cotodigital3.com.ar/sitios/fotos/medium/00043400/00043499.jpg?3.0.150n,Almacen
Turron Mani Sabor Chocolatada Arcor Paq 10 Uni,532506,"$790,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00532500/00532506.jpg?3.0.150n,Almacen
Facturas Surtidas,43608,"$93,60",https://static.cotodigital3.com.ar/sitios/fotos/medium/00043600/00043608.jpg?3.0.150n,Almacen
Facturas Surtidas,6911,"$93,60",https://static.cotodigital3.com.ar/sitios/fotos/medium/00006900/00006911.jpg?3.0.150n,Almacen
Churinche Premium X Uni,43607,"$97,76",https://static.cotodigital3.com.ar/sitios/fotos/medium/00043600/00043607.jpg?3.0.150n,Almacen
Croissant X Uni,6861,"$97,76",https://static.cotodigital3.com.ar/sitios/fotos/medium/00006800/00006861.jpg?3.0.150n,Almacen
Cornetto Vegano X Uni,12696,"$97,76",https://static.cotodigital3.com.ar/sitios/fotos/medium/00012600/00012696.jpg?3.0.150n,Almacen
Churrinche X Uni,6772,"$97,76",https://static.cotodigital3.com.ar/sitios/fotos/medium/00006700/00006772.jpg?3.0.150n,Almacen
Sandwich Simple Litoral Coto 1 Uni,10630,"$101,67",https://static.cotodigital3.com.ar/sitios/fotos/medium/00010600/00010630.jpg?3.0.150n,Almacen
Sandwich Simple COTO 1 Uni,4910,"$101,67",https://static.cotodigital3.com.ar/sitios/fotos/medium/00004900/00004910.jpg?3.0.150n,Almacen
Figazzita Manteca  6 Uni,14177,"$104,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00014100/00014177.jpg?3.0.150n,Almacen
Sandwich Simple Int. Coto 1 Uni,10430,"$108,16",https://static.cotodigital3.com.ar/sitios/fotos/medium/00010400/00010430.jpg?3.0.150n,Almacen
Sal Gruesa . Colosal Paq 250 Grm,506676,"$27,97",https://static.cotodigital3.com.ar/sitios/fotos/medium/00506600/00506676.jpg?3.0.150n,Almacen
Sal Entrefina . Colosal Paq 250 Grm,506677,"$27,97",https://static.cotodigital3.com.ar/sitios/fotos/medium/00506600/00506677.jpg?3.0.150n,Almacen
Pastillas Comprimida DRF Mentol Paq 23 Grm,281897,"$26,49",https://static.cotodigital3.com.ar/sitios/fotos/medium/00281800/00281897.jpg?3.0.150n,Almacen
Pastillas Menta DRF Paq 23 Grm,281898,"$26,49",https://static.cotodigital3.com.ar/sitios/fotos/medium/00281800/00281898.jpg?3.0.150n,Almacen
Pastillas Comprimida DRF Anìs Paq 23 Grm,281899,"$26,49",https://static.cotodigital3.com.ar/sitios/fotos/medium/00281800/00281899.jpg?3.0.150n,Almacen
Pastillas DRF Naranja Paq 23 Grm,284917,"$26,49",https://static.cotodigital3.com.ar/sitios/fotos/medium/00284900/00284917.jpg?3.0.150n,Almacen
Prepizza Rustica Tomate X 1 Uni,14466,"$119,60",https://static.cotodigital3.com.ar/sitios/fotos/medium/00014400/00014466.jpg?3.0.150n,Almacen
Harina Tipo 0000 Cañuelas Paq 1 Kgm,528590,"$128,26",https://static.cotodigital3.com.ar/sitios/fotos/medium/00528500/00528590.jpg?3.0.150n,Almacen
Prepizza De Tomate Mediana COTO,44101,"$128,96",https://static.cotodigital3.com.ar/sitios/fotos/medium/00044100/00044101.jpg?3.0.150n,Almacen
Oblea Vainilla Zupay Paq 50 Grm,491813,"$64,48",https://static.cotodigital3.com.ar/sitios/fotos/medium/00491800/00491813.jpg?3.0.150n,Almacen
Oblea Frutilla Zupay Paq 50 Grm,491816,"$64,48",https://static.cotodigital3.com.ar/sitios/fotos/medium/00491800/00491816.jpg?3.0.150n,Almacen
Oblea Chocolate Zupay Paq 50 Grm,491814,"$64,48",https://static.cotodigital3.com.ar/sitios/fotos/medium/00491800/00491814.jpg?3.0.150n,Almacen
Prepizza Rustica Cebolla X 1 Uni,14467,"$130,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00014400/00014467.jpg?3.0.150n,Almacen
Sal Gruesa . Dos Ancla Est 1 Kgm,14110,"$133,85",https://static.cotodigital3.com.ar/sitios/fotos/medium/00014100/00014110.jpg?3.0.150n,Almacen
Harina De Trigo CAÑUELAS  000 Paquete 1 Kg,99088,"$133,86",https://static.cotodigital3.com.ar/sitios/fotos/medium/00099000/00099088.jpg?3.0.150n,Almacen
Te . Rosamonte Cja 50 Uni,11296,"$240,44",https://static.cotodigital3.com.ar/sitios/fotos/medium/00011200/00011296.jpg?3.0.150n,Almacen
Te Verde Citrus LA VIRGINIA Est 20 Uni,240741,"$193,23",https://static.cotodigital3.com.ar/sitios/fotos/medium/00240700/00240741.jpg?3.0.150n,Almacen
Te X50 Saq Filtro Taragui Est 50 Uni,511775,"$242,28",https://static.cotodigital3.com.ar/sitios/fotos/medium/00511700/00511775.jpg?3.0.150n,Almacen
Filtros Papel Nº4 MELITTA Caja 30 Unidades,294646,"$567,53",https://static.cotodigital3.com.ar/sitios/fotos/medium/00294600/00294646.jpg?3.0.150n,Almacen
Pizzetas De Tomate COTO,44091,"$36,40",https://static.cotodigital3.com.ar/sitios/fotos/medium/00044000/00044091.jpg?3.0.150n,Almacen
Turron De Maní Bariloche Pak 6 Uni,482391,"$232,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00482300/00482391.jpg?3.0.150n,Almacen
Pan Flautita. Precocido 1 Uni,13235,"$41,60",https://static.cotodigital3.com.ar/sitios/fotos/medium/00013200/00013235.jpg?3.0.150n,Almacen
Te C/Dce.De Leche Inti Zen  15 Uni,173810,"$690,30",https://static.cotodigital3.com.ar/sitios/fotos/medium/00173800/00173810.jpg?3.0.150n,Almacen
Te Ilumine Inti Zen Est 15 Uni,164910,"$690,30",https://static.cotodigital3.com.ar/sitios/fotos/medium/00164900/00164910.jpg?3.0.150n,Almacen
Te C/Frutos Tropi Inti Zen 15 Uni,173812,"$690,30",https://static.cotodigital3.com.ar/sitios/fotos/medium/00173800/00173812.jpg?3.0.150n,Almacen
Te Patagonia Bee INTI ZEN Est 15 Uni,173977,"$690,30",https://static.cotodigital3.com.ar/sitios/fotos/medium/00173900/00173977.jpg?3.0.150n,Almacen
Flautita Congelada X Unidad,12179,"$46,80",https://static.cotodigital3.com.ar/sitios/fotos/medium/00012100/00012179.jpg?3.0.150n,Almacen
Pan De Pancho X Uni,44449,"$48,88",https://static.cotodigital3.com.ar/sitios/fotos/medium/00044400/00044449.jpg?3.0.150n,Almacen
Turron Mani ARCOR Bli 10 Un,15909,"$523,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00015900/00015909.jpg?3.0.150n,Almacen
Pan Pebete X Uni,44409,"$57,20",https://static.cotodigital3.com.ar/sitios/fotos/medium/00044400/00044409.jpg?3.0.150n,Almacen
Pan De Hamburguesa X Uni,44438,"$57,20",https://static.cotodigital3.com.ar/sitios/fotos/medium/00044400/00044438.jpg?3.0.150n,Almacen
Medialuna Cruda Congelada,12178,"$62,40",https://static.cotodigital3.com.ar/sitios/fotos/medium/00012100/00012178.jpg?3.0.150n,Almacen
Madialuna De Manteca,937,"$62,40",https://static.cotodigital3.com.ar/sitios/fotos/medium/00000900/00000937.jpg?3.0.150n,Almacen
Medialuna De Grasa X Uni,944,"$62,40",https://static.cotodigital3.com.ar/sitios/fotos/medium/00000900/00000944.jpg?3.0.150n,Almacen
Medialuna De Grasa,43606,"$62,40",https://static.cotodigital3.com.ar/sitios/fotos/medium/00043600/00043606.jpg?3.0.150n,Almacen
Madialuna De Manteca,43499,"$62,40",https://static.cotodigital3.com.ar/sitios/fotos/medium/00043400/00043499.jpg?3.0.150n,Almacen
Turron Mani Sabor Chocolatada Arcor Paq 10 Uni,532506,"$790,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00532500/00532506.jpg?3.0.150n,Almacen
Facturas Surtidas,43608,"$93,60",https://static.cotodigital3.com.ar/sitios/fotos/medium/00043600/00043608.jpg?3.0.150n,Almacen
Facturas Surtidas,6911,"$93,60",https://static.cotodigital3.com.ar/sitios/fotos/medium/00006900/00006911.jpg?3.0.150n,Almacen
Churinche Premium X Uni,43607,"$97,76",https://static.cotodigital3.com.ar/sitios/fotos/medium/00043600/00043607.jpg?3.0.150n,Almacen
Croissant X Uni,6861,"$97,76",https://static.cotodigital3.com.ar/sitios/fotos/medium/00006800/00006861.jpg?3.0.150n,Almacen
Cornetto Vegano X Uni,12696,"$97,76",https://static.cotodigital3.com.ar/sitios/fotos/medium/00012600/00012696.jpg?3.0.150n,Almacen
Churrinche X Uni,6772,"$97,76",https://static.cotodigital3.com.ar/sitios/fotos/medium/00006700/00006772.jpg?3.0.150n,Almacen
Sandwich Simple Litoral Coto 1 Uni,10630,"$101,67",https://static.cotodigital3.com.ar/sitios/fotos/medium/00010600/00010630.jpg?3.0.150n,Almacen
Sandwich Simple COTO 1 Uni,4910,"$101,67",https://static.cotodigital3.com.ar/sitios/fotos/medium/00004900/00004910.jpg?3.0.150n,Almacen
Figazzita Manteca  6 Uni,14177,"$104,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00014100/00014177.jpg?3.0.150n,Almacen
Sandwich Simple Int. Coto 1 Uni,10430,"$108,16",https://static.cotodigital3.com.ar/sitios/fotos/medium/00010400/00010430.jpg?3.0.150n,Almacen
Sal Gruesa . Colosal Paq 250 Grm,506676,"$27,97",https://static.cotodigital3.com.ar/sitios/fotos/medium/00506600/00506676.jpg?3.0.150n,Almacen
Sal Entrefina . Colosal Paq 250 Grm,506677,"$27,97",https://static.cotodigital3.com.ar/sitios/fotos/medium/00506600/00506677.jpg?3.0.150n,Almacen
Pastillas Comprimida DRF Mentol Paq 23 Grm,281897,"$26,49",https://static.cotodigital3.com.ar/sitios/fotos/medium/00281800/00281897.jpg?3.0.150n,Almacen
Pastillas Menta DRF Paq 23 Grm,281898,"$26,49",https://static.cotodigital3.com.ar/sitios/fotos/medium/00281800/00281898.jpg?3.0.150n,Almacen
Pastillas Comprimida DRF Anìs Paq 23 Grm,281899,"$26,49",https://static.cotodigital3.com.ar/sitios/fotos/medium/00281800/00281899.jpg?3.0.150n,Almacen
Pastillas DRF Naranja Paq 23 Grm,284917,"$26,49",https://static.cotodigital3.com.ar/sitios/fotos/medium/00284900/00284917.jpg?3.0.150n,Almacen
Prepizza Rustica Tomate X 1 Uni,14466,"$119,60",https://static.cotodigital3.com.ar/sitios/fotos/medium/00014400/00014466.jpg?3.0.150n,Almacen
Harina Tipo 0000 Cañuelas Paq 1 Kgm,528590,"$128,26",https://static.cotodigital3.com.ar/sitios/fotos/medium/00528500/00528590.jpg?3.0.150n,Almacen
Prepizza De Tomate Mediana COTO,44101,"$128,96",https://static.cotodigital3.com.ar/sitios/fotos/medium/00044100/00044101.jpg?3.0.150n,Almacen
Oblea Vainilla Zupay Paq 50 Grm,491813,"$64,48",https://static.cotodigital3.com.ar/sitios/fotos/medium/00491800/00491813.jpg?3.0.150n,Almacen
Oblea Frutilla Zupay Paq 50 Grm,491816,"$64,48",https://static.cotodigital3.com.ar/sitios/fotos/medium/00491800/00491816.jpg?3.0.150n,Almacen
Oblea Chocolate Zupay Paq 50 Grm,491814,"$64,48",https://static.cotodigital3.com.ar/sitios/fotos/medium/00491800/00491814.jpg?3.0.150n,Almacen
Prepizza Rustica Cebolla X 1 Uni,14467,"$130,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00014400/00014467.jpg?3.0.150n,Almacen
Sal Gruesa . Dos Ancla Est 1 Kgm,14110,"$133,85",https://static.cotodigital3.com.ar/sitios/fotos/medium/00014100/00014110.jpg?3.0.150n,Almacen
Harina De Trigo CAÑUELAS  000 Paquete 1 Kg,99088,"$133,86",https://static.cotodigital3.com.ar/sitios/fotos/medium/00099000/00099088.jpg?3.0.150n,Almacen
Turron Mani La Piñata 25 Grm,539098,"$33,49",https://static.cotodigital3.com.ar/sitios/fotos/medium/00539000/00539098.jpg?3.0.150n,Almacen
Te Verde Citrus LA VIRGINIA Est 20 Uni,240741,"$193,23",https://static.cotodigital3.com.ar/sitios/fotos/medium/00240700/00240741.jpg?3.0.150n,Almacen
Te X50 Saq Filtro Taragui Est 50 Uni,511775,"$242,28",https://static.cotodigital3.com.ar/sitios/fotos/medium/00511700/00511775.jpg?3.0.150n,Almacen
Filtros Papel Nº4 MELITTA Caja 30 Unidades,294646,"$567,53",https://static.cotodigital3.com.ar/sitios/fotos/medium/00294600/00294646.jpg?3.0.150n,Almacen
Pizzetas De Tomate COTO,44091,"$36,40",https://static.cotodigital3.com.ar/sitios/fotos/medium/00044000/00044091.jpg?3.0.150n,Almacen
Turron De Maní Bariloche Pak 6 Uni,482391,"$232,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00482300/00482391.jpg?3.0.150n,Almacen
Pan Flautita. Precocido 1 Uni,13235,"$41,60",https://static.cotodigital3.com.ar/sitios/fotos/medium/00013200/00013235.jpg?3.0.150n,Almacen
Te C/Dce.De Leche Inti Zen  15 Uni,173810,"$690,30",https://static.cotodigital3.com.ar/sitios/fotos/medium/00173800/00173810.jpg?3.0.150n,Almacen
Te Ilumine Inti Zen Est 15 Uni,164910,"$690,30",https://static.cotodigital3.com.ar/sitios/fotos/medium/00164900/00164910.jpg?3.0.150n,Almacen
Te C/Frutos Tropi Inti Zen 15 Uni,173812,"$690,30",https://static.cotodigital3.com.ar/sitios/fotos/medium/00173800/00173812.jpg?3.0.150n,Almacen
Te Patagonia Bee INTI ZEN Est 15 Uni,173977,"$690,30",https://static.cotodigital3.com.ar/sitios/fotos/medium/00173900/00173977.jpg?3.0.150n,Almacen
Flautita Congelada X Unidad,12179,"$46,80",https://static.cotodigital3.com.ar/sitios/fotos/medium/00012100/00012179.jpg?3.0.150n,Almacen
Pan De Pancho X Uni,44449,"$48,88",https://static.cotodigital3.com.ar/sitios/fotos/medium/00044400/00044449.jpg?3.0.150n,Almacen
Turron Mani ARCOR Bli 10 Un,15909,"$523,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00015900/00015909.jpg?3.0.150n,Almacen
Pan Pebete X Uni,44409,"$57,20",https://static.cotodigital3.com.ar/sitios/fotos/medium/00044400/00044409.jpg?3.0.150n,Almacen
Pan De Hamburguesa X Uni,44438,"$57,20",https://static.cotodigital3.com.ar/sitios/fotos/medium/00044400/00044438.jpg?3.0.150n,Almacen
Medialuna Cruda Congelada,12178,"$62,40",https://static.cotodigital3.com.ar/sitios/fotos/medium/00012100/00012178.jpg?3.0.150n,Almacen
Madialuna De Manteca,937,"$62,40",https://static.cotodigital3.com.ar/sitios/fotos/medium/00000900/00000937.jpg?3.0.150n,Almacen
Medialuna De Grasa X Uni,944,"$62,40",https://static.cotodigital3.com.ar/sitios/fotos/medium/00000900/00000944.jpg?3.0.150n,Almacen
Medialuna De Grasa,43606,"$62,40",https://static.cotodigital3.com.ar/sitios/fotos/medium/00043600/00043606.jpg?3.0.150n,Almacen
Madialuna De Manteca,43499,"$62,40",https://static.cotodigital3.com.ar/sitios/fotos/medium/00043400/00043499.jpg?3.0.150n,Almacen
Turron Mani Sabor Chocolatada Arcor Paq 10 Uni,532506,"$790,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00532500/00532506.jpg?3.0.150n,Almacen
Facturas Surtidas,43608,"$93,60",https://static.cotodigital3.com.ar/sitios/fotos/medium/00043600/00043608.jpg?3.0.150n,Almacen
Facturas Surtidas,6911,"$93,60",https://static.cotodigital3.com.ar/sitios/fotos/medium/00006900/00006911.jpg?3.0.150n,Almacen
Churinche Premium X Uni,43607,"$97,76",https://static.cotodigital3.com.ar/sitios/fotos/medium/00043600/00043607.jpg?3.0.150n,Almacen
Croissant X Uni,6861,"$97,76",https://static.cotodigital3.com.ar/sitios/fotos/medium/00006800/00006861.jpg?3.0.150n,Almacen
Cornetto Vegano X Uni,12696,"$97,76",https://static.cotodigital3.com.ar/sitios/fotos/medium/00012600/00012696.jpg?3.0.150n,Almacen
Churrinche X Uni,6772,"$97,76",https://static.cotodigital3.com.ar/sitios/fotos/medium/00006700/00006772.jpg?3.0.150n,Almacen
Sandwich Simple Litoral Coto 1 Uni,10630,"$101,67",https://static.cotodigital3.com.ar/sitios/fotos/medium/00010600/00010630.jpg?3.0.150n,Almacen
Sandwich Simple COTO 1 Uni,4910,"$101,67",https://static.cotodigital3.com.ar/sitios/fotos/medium/00004900/00004910.jpg?3.0.150n,Almacen
Figazzita Manteca  6 Uni,14177,"$104,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00014100/00014177.jpg?3.0.150n,Almacen
Sandwich Simple Int. Coto 1 Uni,10430,"$108,16",https://static.cotodigital3.com.ar/sitios/fotos/medium/00010400/00010430.jpg?3.0.150n,Almacen
Sal Gruesa . Colosal Paq 250 Grm,506676,"$27,97",https://static.cotodigital3.com.ar/sitios/fotos/medium/00506600/00506676.jpg?3.0.150n,Almacen
